Case Number,Date,Year,Month,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,href formula
2011.03.16,16-Mar-11,2011,3,Unprovoked,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",Wakeboarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",N,13h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.16-Mondy.pdf
2011.03.10.R,Reported 10-Mar-2010,2011,3,Invalid,EGYPT,South Sinai Peninsula,Sharm-el-Sheikh,UNKNOWN,F,UNKNOWN,"Apparent drowning, and subsequent scavenging by 16' tiger shark",N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.10.R-Sharm-scavenging.pdf
2011.03.10,10-Mar-11,2011,3,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,UNKNOWN,"No injury, surboard broken",N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.03.10.a-Puri.pdf
2011.02.28.R,Reported 28-Feb-2011,2011,2,Provoked,AUSTRALIA,Queensland,Between ,Fishing,M,36,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,10h45,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.28.R-Nyari.pdf
2011.02.23,23-Feb-11,2011,2,Unprovoked,NEW CALEDONIA, Loyalty Islands,"Bay of Bweedro, Ouv�a",Spearfishing,M,21,Lacerations to left forearm,N,Early afternoon,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.23-Jean-Luc.pdf
2011.02.19,18-Feb-11,2011,2,Unprovoked,REUNION,Saint Gilles ,Trois-Roches,Surfing,M,32,Left leg severed at the knee,N,18h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.19-Dargent.pdf
2011.02.17,17-Feb-11,2011,2,Unprovoked,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,Diving for abalone,M,49,FATAL,Y,18h20,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.17-Clarkson.pdf
2011.02.13,13-Feb-11,2011,2,Provoked,AUSTRALIA,Queensland,Sunshine Beach,Fishing,M,UNKNOWN,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,10h40,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.13-SunshineBeach-angler.pdf
2011.02.12,12-Feb-11,2011,2,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Snorkeling,M,58,Arm bitten,N,Late afternoon,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.12-Exmouth.pdf
2011.02.04.R,Reported 04-Feb-2011,2011,2,Provoked,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",Shark fishing on the Ricardo Astorga,M,UNKNOWN,Left foot bitten PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.04.R-Camacho.pdf
2011.02.02,02-Feb-11,2011,2,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",Surf fishing,M,37,Right leg bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.02.02-Jonk.pdf
2011.01.31,31-Jan-11,2011,1,Unprovoked,MEXICO,Quintana Roo,Cancun,Swimming,F,38,"Leg, forearm & hand severely bitten",N,12h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.31-Moore.pdf
2011.01.28,28-Jan-11,2011,1,Provoked,MEXICO,Colima,Revillagigedo Islands,Shark fishing on the Don Agust�n-VI. ,M,25,Left eg bitten PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.28-Camargo.pdf
2011.01.26,26-Jan-11,2011,1,Unprovoked,BAHAMAS,West End,Tiger Beach,Scuba diving,M,55,Arm bitten ,N,15h00,,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.26-Abernethy.pdf
2011.01.20,20-Jan-11,2011,1,Invalid,AUSTRALIA,New South Wales,Cudgen Creek ,Swimming,F,7,Lacerations to both legs,N,17h00,Shark involvement not confirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.20-Merlini.pdf
2011.01.15,15-Jan-11,2011,1,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,16,FATAL,Y,12h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.15-Ndamase.pdf
2011.01.12.R,Reported 12-Jan 2011,2011,1,Unprovoked,MEXICO,Quintana Roo,Xcalak ,Attempting to fix motor,M,37,Bitten on leg and groin,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.12.R-Infante.pdf
2011.01.03,03-Jan-11,2011,1,Boat,AUSTRALIA,Western Australia,Busselton,Fishing,UNKNOWN,UNKNOWN,"No injury, shark nudged boat and bit propeller",N,12h00,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2011.01.03-BusseltonBoat.pdf
2010.12.26,26-Dec-10,2010,12,Unprovoked,USA,Hawaii," Kahului, Maui",Body boarding,M,16,"Lacerations to his lower left leg, calf, foot & ankle",N,15h35,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.26-Stover-French.pdf
2010.12.17,17-Dec-10,2010,12,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,M,UNKNOWN,Lacerations to  foot,N,AM,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.17-Gracia.pdf
2010.12.11,11-Dec-10,2010,12,Unprovoked,USA,Hawaii,"Tavares Bay, Maui",Surfing,M,46,Lacerations to right foot,N,13h51,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.11-Wilson.pdf
2010.12.05,05-Dec-10,2010,12,Unprovoked,EGYPT,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",Snorkeling,F,70,FATAL,Y,12h00,Oceanic Whitetip Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.05-Renate- Seiffert.pdf
2010.12.03.R,Reported 03-Dec-2010,2010,12,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,UNKNOWN,Lacerations to right hand,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.03.R-Ong.pdf
2010.12.01.b,01-Dec-10,2010,12,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,54,Both arms severely bitten,N,11h00,Shortfin Mako Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.01.b-Yevgeniy-Trishkin.pdf
2010.12.01.a,01-Dec-10,2010,12,Unprovoked,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",Snorkeling,M,46,Lacerations to right leg,N,10h55,Shortfin Mako Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.12.01.a-Viktor-Koliy.pdf
2010.11.30.b,30-Nov-10,2010,11,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,70,"Foot severed, Right forearm severed, lacerations to left hand (defense wounds)",N,14h55,Oceanic Whitetip Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.30.b-Lyudmila-Stolyarova.pdf
2010.11.30.a,30-Nov-10,2010,11,Unprovoked,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,48,Foot and arm bitten,N,14h40,Oceanic Whitetip Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.30.a-Olga Marsyenko.pdf
2010.11.27.R,Reported 27-Nov-2010,2010,11,Unprovoked,SAMOA,UNKNOWN,UNKNOWN,Fishing,M,47,Serious wounds to chest,N,Morning,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.27.R-Samoa.pdf
2010.11.27,27-Nov-10,2010,11,Invalid,AUSTRALIA,Western Australia,Native Dog Beach,Swimming,M,UNKNOWN,Death may have been due to drowning,Y,UNKNOWN,Shark involvement not confirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.27.a-Utley.pdf
2010.11.19,19-Nov-10,2010,11,Provoked,USA,Palmyra Atoll,UNKNOWN,Snorkeling,M,33,Head bitten by netted shark PROVOKED INCIDENT,N,13h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.19-Pollock.pdf
2010.11.15,15-Nov-10,2010,11,Unprovoked,DOMINICAN REPUBLIC,UNKNOWN,Boca Chica,Diving,M,21,FATAL,Y,Morning,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.15-Zapata.pdf
2010.11.14,14-Nov-10,2010,11,Unprovoked,INDONESIA,Bali,Balian,Surfing,M,UNKNOWN,Hand bitten ,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.14-Bali.pdf
2010.11.12.R,Reported 12-Nov-2010,2010,11,Boat,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,M,UNKNOWN,No injury to occupant. Shark rammed bottom of the boat,N,Night,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.11.12.R-Gade.pdf
2010.10.30,30-Oct-10,2010,10,Unprovoked,AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,F,20,Torso and left buttock bitten,N,12h30,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.30-Francom.pdf
2010.10.28.R,Reported 28-Oct-2010,2010,10,Unprovoked,AUSTRALIA,Western Australia,Cheynes Beach,Spearfishing,M,UNKNOWN,"No injury, shark head-butted diver's thigh",N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.28.R-Plant.pdf
2010.10.28,28-Oct-10,2010,10,Unprovoked,USA,Oregon,Florence,Surfing,M,UNKNOWN,No injury to surfer,N,15h20,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.28.a-SethMead.pdf
2010.10.25,25-Oct-10,2010,10,Provoked,AZORES,UNKNOWN,350 miles from Faial Island,Fishing,M,UNKNOWN,PROVOKED INCIDENT?  ,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.25-Gedi-crewman.pdf
2010.10.23.b,23-Oct-10,2010,10,Unprovoked,USA,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,M,30,"No injury to diver, shark bit his video camera",N,Afternoon,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.23-MacNichol.pdf
2010.10.23.a,23-Oct-10,2010,10,Unprovoked,AUSTRALIA,Western Australia,Wedge Island,Kite Surfing,M,14,Lacerations to lower right leg,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.23.a-Walker.pdf
2010.10.22,22-Oct-10,2010,10,Unprovoked,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,M,19,FATAL,Y,08h50,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.22-Ransom.pdf
2010.10.20,20-Oct-10,2010,10,Unprovoked,EGYPT,South Sinai Peninsula,Sharm el-Sheikh ,Snorkeling,F,UNKNOWN,Multiple lacerations to left leg and foot,N,A.M.,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.20-Rubanovich.pdf
2010.10.09,09-Oct-10,2010,10,Unprovoked,AUSTRALIA,New South Wales,Mullaway Headland,Surfing,M,22,Foot bitten,N,13h30,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.09-Turk.pdf
2010.10.02.b,02-Oct-10,2010,10,Unprovoked,BAHAMAS,Exuma Islands,UNKNOWN,Snorkeling,M,UNKNOWN,Calf bitten,N,UNKNOWN,Lemon Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.02.b-Molla.pdf
2010.10.02.a,02-Oct-10,2010,10,Unprovoked,BAHAMAS,Abaco Islands,Elbow Cay,Surfing,F,UNKNOWN,Bitten between left ankle & knee,N,15h00,Lemon Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.02.a-Engle.pdf
2010.10.01,01-Oct-10,2010,10,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",Surfing,M,Teen,3 lacerations to foot,N,14h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.10.01-Melkbaai-surfer.pdf
2010.09.27,27-Sep-10,2010,9,Unprovoked,USA,Oregon,Winchester Bay,Surfing,M,29,"No injury, surfboard rammed",N,16h00,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.27-Lowden-COLLIER.pdf
2010.09.24,24-Sep-10,2010,9,Unprovoked,USA,Virginia,Sandridge Beach,Surfing,M,18,Bite to left ankle and knee,N,16h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.24-Kauchak.pdf
2010.09.21,21-Sep-10,2010,9,Unprovoked,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,M,29,FATAL,Y,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.21-Momoza.pdf
2010.09.13, 13-Sep-2010,2010,9,Unprovoked,AUSTRALIA,New South Wales,Fraser's Reef,Surfing,M,15,Lacerations and puncture wounds to leg and foot,N,17h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.13-Davis.pdf
2010.09.07,07-Sep-10,2010,9,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Swimming,M,27,Lacerations to left wrist,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.07-Whitworth.pdf
2010.09.06.R,Reported 06-Sep-2010,2010,9,Unprovoked,TONGA,Ha'api ,UNKNOWN,Swimming /  Whale Watching,M,24,Puncture wounds to right foot,N,12h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.06.R-Jensen.pdf
2010.09.04, 04-Sep-2010,2010,9,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,UNKNOWN,"No injury, shark charged surfboard",N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.04-Kerr.pdf
2010.09.03.b,03-Sep-10,2010,9,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to right  hand ,N,12h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.03.b-Coffman.pdf
2010.09.03.a,03-Sep-10,2010,9,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,Left thigh bitten,N,09h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.03.a-Heald.pdf
2010.09.02,02-Sep-10,2010,9,Unprovoked,SOLOMON ISLANDS,Western Province,UNKNOWN,UNKNOWN,M,34,Lacerations to face and neck,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.09.02-D'Emden.pdf
2010.08.29,29-Aug-10,2010,8,Invalid,BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",Swimming after boat became disabled,M,43,"His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning",Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.29-Newton.pdf
2010.08.18,18-Aug-10,2010,8,Unprovoked,USA,Florida,Crescent Beach St. Johns County,Boogie Boarding,M,10,Minor injuries to foot,N,09h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.18-Shorten.pdf
2010.08.17,17-Aug-10,2010,8,Unprovoked,AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,M,31,FATAL,Y,08h05,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.17-Edwards.pdf
2010.08.14,14-Aug-10,2010,8,Unprovoked,USA,California,"Pigeon Point, San Mateo County",Kayak Fishing,M,45,"No injury, kayak bitten",N,UNKNOWN,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.14-Coca.pdf
2010.08.10.b,10-Aug-10,2010,8,Provoked,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",Fishing,F,UNKNOWN,Leg bitten by hooked shark PROVOKED INCIDENT,N,19h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.10.b-Townsville.pdf
2010.08.10,10-Aug-10,2010,8,Unprovoked,SOUTH KOREA,Jeju Province,Jeju Island,Swimming,F,16,Lacerations to left lower leg,N,Late afternoon,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.10.a-Pierce.pdf
2010.08.08,08-Aug-10,2010,8,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,Surfing,M,47,Left foot bitten,N,08h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.08-Carroll.pdf
2010.08.07.b,07-Aug-10,2010,8,Unprovoked,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,M,25,Left foot bitten,N,15h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.07.b-Clement.pdf
2010.08.07.a,07-Aug-10,2010,8,Unprovoked,MALTA,UNKNOWN,"Off Fort St. Elmo, Valetta",Windsurfing,M,35,"No injury, sail bitten",N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.07.a-Bonavia.pdf
2010.08.05,05-Aug-10,2010,8,Invalid,USA,Florida,"Bethune Beach, Volusia County",Swimming,F,UNKNOWN,Minor abrasions to legs when she was lifted on the back of a large marine animal,N,19h15,Shark involvement not confirmed,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.05-Fischman.pdf
2010.08.02.b,02-Aug-10,2010,8,Unprovoked,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,M,UNKNOWN,"No injury, kayak bitten",N,12h40,White Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.02.b-Strosaker.pdf
2010.08.02.a,02-Aug-10,2010,8,Unprovoked,USA,Florida,"Micklers Landing, St. Johns County",Standing,F,37,Lacerations to forearm,N,11h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.08.02.a-Presser.pdf
2010.07.25,25-Jul-10,2010,7,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Standing,M,16,Lacerations to right lower leg,N,UNKNOWN,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.25-Stamm.pdf
2010.07.23,23-Jul-10,2010,7,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,Left foot bitten,N,16h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.23-Schulz.pdf
2010.07.19,19-Jul-10,2010,7,Unprovoked,USA,South Carolina,Myrtle Beach,Swimming,M,10,Minor lacerations to left calf,N,10h35,Blacktip Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.19-Myers.pdf
2010.07.17.b,17-Jul-10,2010,7,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,F,13,Lacerations to right forearm,N,13h30,Sand Tiger Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.17.b-Parker.pdf
2010.07.17.a,17-Jul-10,2010,7,Unprovoked,USA,Florida,New Smyrna Beach,Surfing,M,55,Minor lacerations to right foot,N,UNKNOWN,Spinner Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.17.a-Johnston.pdf
2010.07.16.b,16-Jul-10,2010,7,Provoked,SPAIN,Grand Canary Island,"Sardina del Norte, G�ldar",Swimming,M,9,Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT,N,19h15,Angel shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.16.b-Spain.pdf
2010.07.16.a,16-Jul-10,2010,7,Unprovoked,USA,Texas,Galveston,Fishing,M,UNKNOWN,Leg bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.16.a-Gauzer.pdf
2010.07.11,11-Jul-10,2010,7,Provoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,M,UNKNOWN,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,UNKNOWN,Nurse Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.11-Lauderdale-fisherman.pdf
2010.07.04,04-Jul-10,2010,7,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,F,21,Left leg bitten,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.04-Haiden.pdf
2010.07.03,03-Jul-10,2010,7,Provoked,USA,New York,Off Long Island,Fishing,M,20,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,12h30,Blue Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.03-Joseph.pdf
2010.07.02.b,02-Jul-10,2010,7,Unprovoked,USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,M,19,Laceration to left foot,N,Evening,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.02.b-Crane.pdf
2010.07.02.a,02-Jul-10,2010,7,Unprovoked,USA,California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,M,48,"No injury, board bumped by shark",N,15h15,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.07.02.a-Bull.pdf
2010.06.27,27-Jun-10,2010,6,Unprovoked,USA,Texas,"Eight Mile Beach, Galveston",Surfing,M,20,Lacerations to right foot,N,UNKNOWN,Bull Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.27-Rogers.pdf
2010.06.25.b,25-Jun-10,2010,6,Unprovoked,USA,South Carolina,Fripp Island,Boogie Boarding,F,6,Laceration to leg,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.25.b-Morris.pdf
2010.06.25.a,25-Jun-10,2010,6,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Swimming,F,13,Laceration to left foot,N,13h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.25.a-Schlentz.pdf
2010.06.15,15-Jun-10,2010,6,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,M,17,Laceration to left foot,N,17h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.15-Hoang.pdf
2010.06.10,10-Jun-10,2010,6,Unprovoked,USA,Florida,Jacksonville,Boogie Boarding,F,18,Lacerations to left calf and foot,N,12h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.10-Mayo-Foster.pdf
2010.06.06,06-Jun-10,2010,6,Unprovoked,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,M,40,Severe laceration to right knee,N,12h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.06-Bedford.pdf
2010.06.00,Jun-10,2010,6,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Surfing,M,20,Lacerations to left foot,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.06.00-Searcy.pdf
2010.05.30,30-May-10,2010,5,Provoked,USA,Florida,Off Tarpon Springs,Fishing,M,49,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,08h45,Lemon Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.30-Seymore.pdf
2010.05.18.c,18-May-10,2010,5,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Rescuing,F,58,Minor laceration to leg,N,18h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.18.c-Thao.pdf
2010.05.18.b,18-May-10,2010,5,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,F,60,Severe lacerations to left foot,N,18h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.18.b-Thanh.pdf
2010.05.18.a,18-May-10,2010,5,Unprovoked,AUSTRALIA,New South Wales,Point Plomer,Surfing,M,UNKNOWN,Superficial lacerations to lower left leg,N,16h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.18.a-Gibson.pdf
2010.05.03,03-May-10,2010,5,Unprovoked,MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",Scuba diving,M,59,Lacerations to arm & chest,N,09h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.03-Touzet.pdf
2010.05.01,01-May-10,2010,5,Unprovoked,USA,Florida,New Smyrna Beach,Wading,F,10,Minor puncture wounds to right ankle,N,10h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.05.01-Dubois.pdf
2010.04.28,28-Apr-10,2010,4,Provoked,USA,Florida,Hanalei Bay,Measuring sharks,M,29,Arm bitten PROVOKED INCIDENT ,N,Afternoon,Lemon Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.04.28-Gatrich.pdf
2010.04.19,19-Apr-10,2010,4,Unprovoked,USA,Hawaii,"Hanalei Bay, Kauai",Surfing,M,68,"No injury, surfboard bitten",N,16h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.04.19-Rawlinson.pdf
2010.04.13,13-Apr-10,2010,4,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,M,35,Both feet bitten,N,10h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.04.13-Denton.pdf
2010.04.04,04-Apr-10,2010,4,Unprovoked,EGYPT,Sinai Peninsula,Sharm el-Sheikh ,Swimming / treading water,M,24,Lacerations to left ankle and foot,N,14h00,Oceanic Whitetip Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.04.04-Elliot.pdf
2010.03.27, 27-Mar-2010,2010,3,Unprovoked,REUNION,Saint-Benoit,Bittern,Surfing,M,34,"No injury, board bitten",N,11h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.03.27-Schorebreak.pdf
2010.02.19,190Feb-2010,2010,2,Unprovoked,NEW ZEALAND,South Island,Tahunanui Beach,Swimming,M,UNKNOWN,Bruised but otherwise unhurt,N,Night,Blue Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.19-Baird.pdf
2010.02.16,16-Feb-10,2010,2,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,M,UNKNOWN,Lacerations to right leg,N,11h00,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.16-duPlessis.pdf
2010.02.15,15-Feb-10,2010,2,Unprovoked,FIJI,Off Vanua Levu,Nara Reef,Scuba diving,M,19,FATAL,Y,09h30,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.15-Usimewa.pdf
2010.02.13,13-Feb-10,2010,2,Unprovoked,AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,F,60,Lacerations to legs & buttocks,N,13h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.13-Trumbull.pdf
2010.02.11,11-Feb-10,2010,2,Unprovoked,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,M,46,"Minor injury, lacerations to left lower leg",N,08h00,Wobbegong Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/2010.02.11-Welsh.pdf
