Case Number,Date,Year,Month,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,href formula
1962.11.00,Nov-62,1962,11,Sea Disaster,MID ATLANTIC OCEAN,UNKNOWN,Off Bermuda,Abandoning burning ship Captain George in raging seas,M,UNKNOWN,"No injury, shark bit his boot",N,06h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.11.00-Fisher.pdf
1962.10.28,28-Oct-62,1962,10,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Paradise Reef,Spearfishing,M,30,Arm lacerated (minor injury),N,15h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.10.28-Holliday.pdf
1962.10.25,25-Oct-62,1962,10,Unprovoked,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",Wading,M,32,"FATAL, both legs bitten  ",Y,08h30,OTHER,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.10.25-Nunez.pdf
1962.10.15,15-Oct-62,1962,10,Unprovoked,ADMIRALTY ISLANDS,Manus Island,Sisi  (west coast of island),UNKNOWN,M,26,Facial lacerations,N,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.10.15-Pasigan.pdf
1962.10.14,14-Oct-62,1962,10,Boat,AUSTRALIA,South Australia,Port Phillip Bay,Adrift after wave swamped engine,M,UNKNOWN,"No injury to occupant, shark ""nibbled"" at boat",N,UNKNOWN,Gray Reef Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.10.14-Wilson-boat.pdf
1962.10.06,06-Oct-62,1962,10,Invalid,USA,California,2 miles off Santa Catalina Island,"Overcome by CO fumes, fell overboard from 36' fishing cruiser & prop slashed arm",F,43,Drowned due to CO2 poisoning - Post Mortem Scavaging,N,UNKNOWN,Blue Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.10.06-Leaf.pdf
1962.10.00,Oct-62,1962,10,Unprovoked,PANAMA,Pinas Bay,UNKNOWN,Sitting in shallows,M,1,"FATAL, body not recovered",Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.10.00-babyboy.pdf
1962.09.30,30-Sep-62,1962,9,Unprovoked,BRITISH WEST INDIES,Grand Turk Island,Long Cay,Spearfishing,M,24,Left thigh & hand & speargun bitten,N,14h30,Blacktip Shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.09.30-Vickrey.pdf
1962.09.22,22-Sep-62,1962,9,Unprovoked,MEXICO,Veracruz,"Villa del Mar Beach, Veracruz",Swimming,M,20,"Left arm severely bitten, surgically amputated",N,15h00,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.09.22-Valenzuela.pdf
1962.09.13,13-Sep-62,1962,9,Unprovoked,SOUTH ATLANTIC OCEAN,Off coast of West Africa,Off the passenger liner Stirling Castle,"When  a deckhand  jumped overboard, McIver dived after him with a rescue line.",M,29,"FATAL, he died within minutes of being hauled back onboard the Stirling Castle",Y,UNKNOWN,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1962.09.13-MacIver.pdf
