,SEX,AGE,ACTIVITY,COUNTRY,MONTH,YEAR,SPECIES,TYPE,FATAL,INJURY
1641,F,Youth,Jumping,USA,9,2004,Non defined,Unprovoked,N,LOWER EXTREMITIES
1643,M,Youth,Bathing,BRAZIL,8,2004,Tiger shark,Unprovoked,N,OTHERS
1645,M,Adult,Diving,USA,8,2004,White shark,Unprovoked,Y,FATAL
1646,M,Adult,Swimming,USA,8,2004,Non defined,Unprovoked,N,OTHERS
1652,F,Children,Swimming,USA,7,2004,Non defined,Unprovoked,N,OTHERS
1653,F,Youth,Swimming,USA,7,2004,Non defined,Unprovoked,N,LOWER EXTREMITIES
1654,M,Children,Wading,USA,7,2004,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1657,M,Young Adult,Surfing,AUSTRALIA,7,2004,Non defined,Unprovoked,Y,LOWER EXTREMITIES
1659,M,Children,Wading,USA,7,2004,Non defined,Unprovoked,N,LOWER EXTREMITIES
1660,M,Adult,Surfing,USA,6,2004,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1663,M,Youth,boarding,AUSTRALIA,6,2004,Non defined,Unprovoked,N,LOWER EXTREMITIES
1664,M,Children,Swimming,USA,6,2004,Non defined,Unprovoked,N,OTHERS
1665,M,Youth,Swimming,SOUTH AFRICA,6,2004,White shark,Unprovoked,Y,LOWER EXTREMITIES
1666,M,Youth,Wading,USA,5,2004,Non defined,Unprovoked,N,OTHERS
1667,M,Youth,Swimming,BRAZIL,5,2004,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1668,M,Adult,Surfing,USA,5,2004,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1673,M,Adult,diving,BAHAMAS,5,2004,Non defined,Provoked,N,OTHERS
1674,M,Young Adult,surfing,USA,5,2004,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1680,M,Adult,Surfing,USA,4,2004,Tiger shark,Unprovoked,Y,FATAL
1681,M,Youth,Surfing,SOUTH AFRICA,4,2004,White shark,Unprovoked,N,LOWER EXTREMITIES
1684,M,Youth,Surfing,USA,3,2004,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1685,M,Youth,boarding,BRAZIL,3,2004,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1687,M,Youth,Surfing,REUNION,3,2004,Non defined,Unprovoked,N,OTHERS
1691,M,Adult,Surfing,USA,3,2004,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1694,M,Youth,Surfing,NEW ZEALAND,2,2004,Non defined,Unprovoked,N,OTHERS
1699,M,Adult,diving,AUSTRALIA,1,2004,White shark,Unprovoked,N,LOWER EXTREMITIES
1703,M,Adult,Spearfishing,VENEZUELA,1,2004,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1717,M,Youth,Spearfishing,SOUTH AFRICA,11,2003,Tiger shark,Unprovoked,Y,FATAL
1718,F,Young Adult,Surfing,USA,11,2003,White shark,Unprovoked,N,OTHERS
1725,M,Youth,Surfing,USA,1,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1726,M,Youth,Surfing,AUSTRALIA,1,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1727,F,Children,Surfing,USA,1,2003,Tiger shark,Unprovoked,N,OTHERS
1730,M,Youth,Surfing,USA,1,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1736,F,Adult,Wading,USA,1,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1742,M,Young Adult,Surfing,USA,9,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1745,M,Youth,boarding,USA,9,2003,Non defined,Unprovoked,N,OTHERS
1746,M,Youth,Standing,USA,9,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1747,M,Youth,boarding,SOUTH AFRICA,9,2003,White shark,Unprovoked,Y,FATAL
1750,F,Adult,Swimming,USA,8,2003,White shark,Unprovoked,Y,LOWER EXTREMITIES
1752,M,Youth,Sitting,SOUTH AFRICA,8,2003,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1756,M,Adult,Spearfishing,BAHAMAS,7,2003,Non defined,Unprovoked,N,OTHERS
1757,M,Children,Walking,USA,7,2003,Non defined,Provoked,N,LOWER EXTREMITIES
1759,M,Adult,Spearfishing,BAHAMAS,7,2003,Bull shark,Unprovoked,N,OTHERS
1763,M,Youth,Surfing,USA,6,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1764,M,Youth,Surfing,USA,6,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1766,F,Children,Standing,USA,6,2003,Non defined,Unprovoked,N,OTHERS
1767,M,Adult,Swimming,USA,6,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1769,M,Young Adult,Surfing,USA,6,2003,Non defined,Unprovoked,N,OTHERS
1773,M,Youth,Wading,USA,5,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1774,M,Youth,Swimming,USA,5,2003,Non defined,Unprovoked,N,OTHERS
1775,M,Young Adult,Surfing,USA,5,2003,Non defined,Provoked,N,LOWER EXTREMITIES
1780,M,Youth,Surfing,BRAZIL,4,2003,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1782,M,Adult,Surfing,USA,4,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1783,M,Youth,Surfing,USA,4,2003,Non defined,Unprovoked,N,OTHERS
1784,M,Young Adult,Surfing,USA,4,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1785,M,Youth,Surfing,USA,4,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1786,M,Youth,Surfing,USA,4,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1787,M,Children,Jumping,USA,4,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1788,M,Children,Surfing,USA,4,2003,Non defined,Unprovoked,N,OTHERS
1789,M,Youth,Swimming,USA,4,2003,Non defined,Unprovoked,N,OTHERS
1790,M,Young Adult,Surfing,VENEZUELA,4,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1792,M,Adult,Surfing,USA,4,2003,Non defined,Unprovoked,N,OTHERS
1794,M,Adult,diving,NEW ZEALAND,2,2003,White shark,Unprovoked,N,OTHERS
1795,M,Adult,Wading,AUSTRALIA,2,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1796,M,Adult,Swimming,USA,2,2003,Non defined,Unprovoked,N,OTHERS
1797,M,Youth,Swimming,AUSTRALIA,2,2003,Non defined,Unprovoked,N,LOWER EXTREMITIES
1798,M,Senior,Swimming,AUSTRALIA,2,2003,Bull shark,Unprovoked,Y,FATAL
1803,M,Young Adult,Snorkeling,SOUTH AFRICA,12,2002,White shark,Unprovoked,N,OTHERS
1806,M,Youth,Swimming,AUSTRALIA,12,2002,Bull shark,Unprovoked,Y,FATAL
1809,M,Adult,boarding,USA,11,2002,White shark,Unprovoked,N,LOWER EXTREMITIES
1810,F,Young Adult,Swimming,USA,11,2002,Non defined,Unprovoked,N,OTHERS
1811,F,Adult,Snorkeling,TURKS & CAICOS,11,2002,Non defined,Unprovoked,N,OTHERS
1812,M,Youth,Surfing,USA,11,2002,Non defined,Unprovoked,N,OTHERS
1813,M,Youth,boarding,USA,11,2002,White shark,Unprovoked,N,LOWER EXTREMITIES
1815,F,Adult,Swimming,USA,1,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1816,M,Adult,Swimming,BRAZIL,1,2002,Tiger shark,Unprovoked,Y,FATAL
1818,M,Children,Surfing,USA,1,2002,Non defined,Unprovoked,N,OTHERS
1819,M,Young Adult,Surfing,USA,1,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1820,M,Youth,Surfing,USA,1,2002,White shark,Unprovoked,N,OTHERS
1821,M,Adult,Surfing,USA,9,2002,Non defined,Unprovoked,N,OTHERS
1823,M,Adult,Fishing,USA,9,2002,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1824,M,Children,Fishing,USA,9,2002,Non defined,Provoked,N,OTHERS
1825,M,Children,Swimming,TONGA,9,2002,Tiger shark,Provoked,N,OTHERS
1826,M,Youth,boarding,USA,9,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1827,M,Young Adult,Surfing,USA,9,2002,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1828,M,Youth,Swimming,BRAZIL,9,2002,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1830,M,Adult,skiing,SOUTH AFRICA,9,2002,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
1831,M,Youth,boarding,USA,9,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1832,M,Adult,Wading,USA,9,2002,Non defined,Provoked,N,LOWER EXTREMITIES
1833,M,Youth,Surfing,USA,8,2002,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1835,M,Young Adult,Surfing,USA,8,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1836,M,Youth,Surfing,USA,8,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1839,M,Children,Standing,USA,8,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1840,M,Children,Surfing,USA,7,2002,Non defined,Unprovoked,N,OTHERS
1841,F,Youth,Swimming,USA,7,2002,Bull shark,Unprovoked,N,OTHERS
1843,M,Adult,Fishing,USA,7,2002,Non defined,Provoked,Y,OTHERS
1844,M,Youth,Surfing,BRAZIL,7,2002,Tiger shark,Unprovoked,N,OTHERS
1845,F,Children,Standing,USA,7,2002,Bull shark,Unprovoked,N,LOWER EXTREMITIES
1852,M,Young Adult,Surfing,USA,6,2002,Non defined,Unprovoked,N,OTHERS
1853,M,Adult,Surfing,USA,6,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1855,M,Adult,Snorkeling,SOUTH AFRICA,6,2002,Non defined,Unprovoked,N,OTHERS
1856,M,Youth,Surfing,USA,5,2002,White shark,Unprovoked,N,LOWER EXTREMITIES
1857,M,Youth,Floating,USA,5,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1858,M,Adult,Fishing,USA,5,2002,Non defined,Provoked,N,LOWER EXTREMITIES
1865,M,Youth,diving,AUSTRALIA,4,2002,White shark,Unprovoked,Y,LOWER EXTREMITIES
1867,M,Young Adult,Surfing,USA,4,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1870,M,Adult,Standing,BAHAMAS,4,2002,Bull shark,Unprovoked,N,OTHERS
1871,M,Adult,Wading,USA,4,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1872,M,Young Adult,Swimming,USA,4,2002,Non defined,Unprovoked,N,OTHERS
1873,M,Youth,boarding,USA,3,2002,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
1874,F,Children,Wading,USA,3,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1876,M,Youth,Swimming,USA,3,2002,White shark,Unprovoked,N,LOWER EXTREMITIES
1877,M,Adult,Snorkeling,USA,3,2002,Non defined,Unprovoked,N,OTHERS
1878,M,Young Adult,Surfing,USA,3,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1881,M,Children,Surfing,AUSTRALIA,2,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1883,M,Young Adult,Kayaking,AUSTRALIA,2,2002,Non defined,Unprovoked,N,OTHERS
1884,M,Youth,Surfing,AUSTRALIA,1,2002,Tiger shark,Unprovoked,N,OTHERS
1886,M,Youth,Fishing,SOUTH AFRICA,1,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1888,M,Young Adult,skiing,SOUTH AFRICA,1,2002,Non defined,Unprovoked,N,LOWER EXTREMITIES
1889,M,Young Adult,Snorkeling,USA,1,2002,Tiger shark,Unprovoked,N,OTHERS
1895,F,Youth,Snorkeling,AUSTRALIA,1,2001,Non defined,Unprovoked,N,OTHERS
1896,M,Young Adult,surfing,MEXICO,9,2001,Tiger shark,Unprovoked,N,OTHERS
1898,M,Youth,Surfing,USA,9,2001,White shark,Provoked,N,LOWER EXTREMITIES
1901,M,Adult,boarding,USA,9,2001,Non defined,Unprovoked,N,OTHERS
1907,M,Young Adult,Swimming,USA,9,2001,White shark,Unprovoked,Y,FATAL
1908,F,Youth,Swimming,USA,9,2001,White shark,Unprovoked,N,LOWER EXTREMITIES
1909,M,Youth,Wading,USA,9,2001,Non defined,Unprovoked,N,OTHERS
1910,M,Children,Swimming,USA,9,2001,Bull shark,Unprovoked,Y,FATAL
1911,M,Adult,Spearfishing,BAHAMAS,8,2001,Bull shark,Unprovoked,N,OTHERS
1916,M,Youth,Surfing,USA,8,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1921,M,Youth,Surfing,USA,8,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1922,M,Youth,Surfing,USA,8,2001,Non defined,Unprovoked,N,OTHERS
1923,M,Youth,Surfing,USA,8,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1924,M,Adult,Spearfishing,BAHAMAS,8,2001,Bull shark,Unprovoked,N,OTHERS
1934,M,Youth,boarding,USA,7,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1936,M,Children,Swimming,USA,7,2001,Bull shark,Unprovoked,N,OTHERS
1940,M,Adult,Spearfishing,USA,6,2001,White shark,Provoked,N,"NO INJURY, SLIGHT SCARE!"
1942,F,Young Adult,Wading,USA,6,2001,Non defined,Unprovoked,N,OTHERS
1950,M,Adult,Surfing,USA,5,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1954,M,Children,Surfing,USA,4,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1957,M,Youth,Surfing,USA,4,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1958,M,Children,boarding,USA,4,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1959,M,Youth,Surfing,USA,4,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1960,M,Youth,Surfing,USA,4,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1964,M,Adult,Surfing,SOUTH AFRICA,4,2001,White shark,Unprovoked,N,LOWER EXTREMITIES
1966,M,Young Adult,Standing,USA,4,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1968,M,Adult,Surfing,AUSTRALIA,4,2001,Non defined,Unprovoked,N,OTHERS
1976,M,Adult,Surfing,AUSTRALIA,2,2001,Non defined,Unprovoked,N,LOWER EXTREMITIES
1983,M,Adult,Swimming,FIJI,12,2000,Non defined,Unprovoked,Y,LOWER EXTREMITIES
1986,M,Adult,Spearfishing,AUSTRALIA,12,2000,Non defined,Unprovoked,N,OTHERS
1990,M,Senior,Swimming,USA,11,2000,Non defined,Unprovoked,N,OTHERS
1992,M,Adult,Swimming,AUSTRALIA,11,2000,White shark,Unprovoked,N,LOWER EXTREMITIES
1993,M,Adult,Swimming,AUSTRALIA,11,2000,White shark,Unprovoked,Y,LOWER EXTREMITIES
1994,M,Young Adult,Surfing,USA,11,2000,White shark,Unprovoked,N,OTHERS
1997,F,Adult,Swimming,USA,1,2000,Tiger shark,Unprovoked,N,OTHERS
1999,M,Youth,Surfing,USA,1,2000,Non defined,Unprovoked,N,LOWER EXTREMITIES
2000,M,Youth,Surfing,USA,1,2000,Non defined,Unprovoked,N,OTHERS
2004,M,Youth,Surfing,AUSTRALIA,9,2000,White shark,Unprovoked,Y,FATAL
2005,M,Young Adult,Surfing,AUSTRALIA,9,2000,White shark,Unprovoked,Y,FATAL
2007,M,Young Adult,Surfing,OKINAWA,9,2000,White shark,Unprovoked,Y,FATAL
2011,M,Young Adult,Swimming,USA,9,2000,Non defined,Unprovoked,N,OTHERS
2013,M,Adult,diving,SOUTH AFRICA,9,2000,White shark,Unprovoked,N,OTHERS
2015,M,Adult,Wading,USA,9,2000,Non defined,Unprovoked,N,LOWER EXTREMITIES
2016,M,Young Adult,Surfing,REUNION,9,2000,Tiger shark,Unprovoked,N,OTHERS
2018,M,Adult,Swimming,USA,8,2000,Non defined,Unprovoked,N,LOWER EXTREMITIES
2019,M,Senior,Undefined,USA,8,2000,Bull shark,Unprovoked,Y,FATAL
2022,M,Adult,Windsurfing,USA,8,2000,Tiger shark,Unprovoked,N,OTHERS
2023,M,Young Adult,Surfing,USA,8,2000,Non defined,Unprovoked,N,LOWER EXTREMITIES
2024,F,Adult,Standing,USA,8,2000,Non defined,Unprovoked,N,LOWER EXTREMITIES
2039,F,Children,Playing,USA,7,2000,Tiger shark,Unprovoked,N,OTHERS
2041,F,Adult,Spearfishing,USA,7,2000,Non defined,Unprovoked,N,OTHERS
2042,F,Children,Wading,USA,7,2000,Non defined,Unprovoked,N,OTHERS
2043,F,Youth,Standing,USA,7,2000,Non defined,Unprovoked,N,OTHERS
2049,M,Youth,Surfing,USA,6,2000,Non defined,Unprovoked,N,LOWER EXTREMITIES
2050,M,Adult,Swimming,USA,6,2000,Bull shark,Unprovoked,N,LOWER EXTREMITIES
2051,M,Adult,Swimming,USA,6,2000,Bull shark,Unprovoked,N,OTHERS
2061,M,Young Adult,Swimming,AUSTRALIA,3,2000,Non defined,Unprovoked,N,OTHERS
2062,F,Children,boarding,USA,3,2000,Non defined,Unprovoked,N,LOWER EXTREMITIES
2063,M,Adult,Surfing,USA,3,2000,Non defined,Unprovoked,N,OTHERS
2064,M,Young Adult,Spearfishing,NEW CALEDONIA,3,2000,Tiger shark,Unprovoked,Y,FATAL
2070,M,Adult,Spearfishing,USA,1,2000,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
2087,F,Adult,Swimming,USA,11,1999,Tiger shark,Unprovoked,N,OTHERS
2090,M,Adult,Spearfishing,BRAZIL,11,1999,Non defined,Unprovoked,N,OTHERS
2096,M,Youth,Surfing,USA,1,1999,Tiger shark,Unprovoked,N,OTHERS
2099,M,Adult,Kayaking,USA,9,1999,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
2105,M,Young Adult,Surfing,USA,8,1999,Non defined,Unprovoked,N,LOWER EXTREMITIES
2107,M,Youth,Fishing,MARSHALL ISLANDS,8,1999,Non defined,Unprovoked,N,LOWER EXTREMITIES
2109,M,Children,Lying,USA,8,1999,Non defined,Unprovoked,N,OTHERS
2110,M,Adult,surfing,USA,8,1999,Non defined,Unprovoked,N,LOWER EXTREMITIES
2111,M,Young Adult,Spearfishing,BAHAMAS,8,1999,Bull shark,Unprovoked,N,OTHERS
2112,M,Adult,Surfing,SOUTH AFRICA,7,1999,White shark,Unprovoked,N,OTHERS
2113,M,Adult,Swimming,USA,7,1999,Bull shark,Unprovoked,N,LOWER EXTREMITIES
2114,M,Adult,Surfing,USA,7,1999,Tiger shark,Unprovoked,N,OTHERS
2115,M,Children,boarding,SOUTH AFRICA,7,1999,White shark,Unprovoked,Y,FATAL
2117,F,Young Adult,Wading,USA,7,1999,Non defined,Unprovoked,N,LOWER EXTREMITIES
2118,M,Young Adult,Surfing,SOUTH AFRICA,7,1999,White shark,Unprovoked,N,LOWER EXTREMITIES
2120,M,Youth,Surfing,USA,6,1999,White shark,Unprovoked,N,OTHERS
2122,M,Children,Splashing,USA,6,1999,Non defined,Unprovoked,N,LOWER EXTREMITIES
2123,M,Youth,Windsurfing,AUSTRALIA,5,1999,White shark,Unprovoked,Y,FATAL
2124,M,Youth,Surfing,BRAZIL,5,1999,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
2126,M,Adult,Swimming,REUNION,4,1999,Bull shark,Unprovoked,Y,FATAL
2134,F,Young Adult,Swimming,USA,3,1999,Non defined,Unprovoked,N,LOWER EXTREMITIES
2136,M,Young Adult,Surfing,AUSTRALIA,2,1999,Tiger shark,Unprovoked,N,OTHERS
2137,M,Young Adult,Surfing,USA,2,1999,Non defined,Unprovoked,N,OTHERS
2143,M,Young Adult,Spearfishing,SOUTH AFRICA,1,1999,White shark,Unprovoked,N,OTHERS
2147,M,Youth,Surfing,SOUTH AFRICA,12,1998,White shark,Unprovoked,N,LOWER EXTREMITIES
2150,M,Children,Swimming,USA,11,1998,Tiger shark,Unprovoked,Y,FATAL
2151,M,Children,Surfing,USA,11,1998,Non defined,Unprovoked,N,LOWER EXTREMITIES
2152,M,Children,Walking,USA,11,1998,Non defined,Unprovoked,N,OTHERS
2155,M,Youth,Surfing,BRAZIL,11,1998,White shark,Unprovoked,Y,FATAL
2167,M,Young Adult,Surfing,USA,8,1998,White shark,Unprovoked,N,LOWER EXTREMITIES
2169,M,Youth,boarding,USA,8,1998,White shark,Unprovoked,N,OTHERS
2171,M,Young Adult,Spearfishing,BAHAMAS,8,1998,Non defined,Unprovoked,N,OTHERS
2175,M,Youth,Spearfishing,SOUTH AFRICA,8,1998,White shark,Unprovoked,N,LOWER EXTREMITIES
2179,M,Youth,Surfing,SOUTH AFRICA,7,1998,Non defined,Unprovoked,N,LOWER EXTREMITIES
2181,M,Young Adult,diving,AUSTRALIA,6,1998,White shark,Unprovoked,Y,LOWER EXTREMITIES
2182,M,Youth,Boarding,SOUTH AFRICA,6,1998,White shark,Unprovoked,Y,FATAL
2186,M,Youth,boarding,SOUTH AFRICA,5,1998,White shark,Unprovoked,N,OTHERS
2187,M,Youth,boarding,SOUTH AFRICA,5,1998,Non defined,Unprovoked,N,LOWER EXTREMITIES
2188,M,Adult,Surfing,USA,5,1998,Non defined,Unprovoked,N,LOWER EXTREMITIES
2189,F,Children,Swimming,USA,5,1998,Non defined,Unprovoked,N,LOWER EXTREMITIES
2191,M,Youth,boarding,SOUTH AFRICA,5,1998,White shark,Unprovoked,N,LOWER EXTREMITIES
2192,F,Young Adult,Towing,MOZAMBIQUE,4,1998,Non defined,Unprovoked,Y,FATAL
2193,M,Adult,Surfing,USA,4,1998,White shark,Unprovoked,N,OTHERS
2198,M,Young Adult,Snorkeling,SOUTH AFRICA,3,1998,White shark,Unprovoked,N,LOWER EXTREMITIES
2199,M,Young Adult,Swimming,USA,3,1998,Non defined,Unprovoked,N,OTHERS
2206,M,Youth,Surfing,MOZAMBIQUE,1,1998,Non defined,Unprovoked,N,LOWER EXTREMITIES
2210,M,Adult,Spearfishing,SOUTH AFRICA,12,1997,White shark,Unprovoked,Y,FATAL
2214,M,Adult,diving,AUSTRALIA,11,1997,White shark,Unprovoked,N,OTHERS
2218,M,Youth,boarding,USA,1,1997,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
2219,M,Youth,Surfing,USA,1,1997,Non defined,Unprovoked,N,LOWER EXTREMITIES
2220,M,Children,Surfing,USA,1,1997,Non defined,Unprovoked,N,LOWER EXTREMITIES
2229,M,Young Adult,Surfing,USA,8,1997,White shark,Unprovoked,N,LOWER EXTREMITIES
2239,M,Youth,surfing,USA,8,1997,Non defined,Unprovoked,N,LOWER EXTREMITIES
2240,M,Youth,Wading,USA,8,1997,Non defined,Unprovoked,N,LOWER EXTREMITIES
2242,M,Young Adult,Surfing,SOUTH AFRICA,7,1997,White shark,Unprovoked,Y,FATAL
2244,M,Adult,Standing,USA,7,1997,Non defined,Unprovoked,N,OTHERS
2248,F,Adult,Snorkeling,FIJI,6,1997,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
2249,M,Youth,Surfing,USA,6,1997,Non defined,Unprovoked,N,OTHERS
2251,M,Young Adult,surfing,USA,6,1997,Non defined,Unprovoked,N,LOWER EXTREMITIES
2252,M,Young Adult,Spearfishing,USA,5,1997,White shark,Unprovoked,N,OTHERS
2253,M,Young Adult,Surfing,USA,5,1997,Non defined,Unprovoked,N,OTHERS
2254,M,Children,Surfing,USA,5,1997,Non defined,Unprovoked,N,LOWER EXTREMITIES
2259,M,Children,diving,AUSTRALIA,2,1997,Tiger shark,Unprovoked,N,OTHERS
2263,M,Young Adult,Snorkeling,AUSTRALIA,1,1997,Non defined,Unprovoked,N,LOWER EXTREMITIES
2264,M,Adult,Windsurfing,AUSTRALIA,1,1997,Tiger shark,Unprovoked,Y,FATAL
2271,M,Adult,Surfing,USA,11,1996,White shark,Unprovoked,N,LOWER EXTREMITIES
2276,M,Youth,Surfing,USA,1,1996,White shark,Unprovoked,N,LOWER EXTREMITIES
2277,M,Youth,Surfing,USA,1,1996,Non defined,Unprovoked,N,OTHERS
2278,M,Young Adult,Surfing,USA,1,1996,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
2281,M,Youth,Diving,NEW ZEALAND,9,1996,White shark,Unprovoked,N,OTHERS
2282,M,Youth,Surfing,USA,9,1996,Non defined,Unprovoked,N,LOWER EXTREMITIES
2286,M,Young Adult,Spearfishing,SOUTH AFRICA,9,1996,White shark,Provoked,N,"NO INJURY, SLIGHT SCARE!"
2287,M,Youth,Boarding,USA,8,1996,Tiger shark,Unprovoked,N,OTHERS
2288,M,Adult,diving,USA,8,1996,White shark,Unprovoked,N,OTHERS
2289,M,Youth,fishing,USA,8,1996,Non defined,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
2297,F,Adult,Standing,USA,7,1996,Non defined,Unprovoked,N,LOWER EXTREMITIES
2302,M,Youth,Surfing,SOUTH AFRICA,5,1996,White shark,Unprovoked,N,LOWER EXTREMITIES
2304,M,Youth,Surfing,USA,5,1996,Non defined,Unprovoked,N,LOWER EXTREMITIES
2306,M,Young Adult,Surfing,USA,5,1996,Non defined,Unprovoked,N,LOWER EXTREMITIES
2311,F,Adult,Swimming,AUSTRALIA,3,1996,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
2313,M,Youth,Undefined,AUSTRALIA,2,1996,Non defined,Unprovoked,N,LOWER EXTREMITIES
2319,M,Children,Swimming,AUSTRALIA,2,1996,Non defined,Unprovoked,N,LOWER EXTREMITIES
2322,M,Adult,Swimming,USA,1,1996,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
2325,M,Young Adult,Surfing,REUNION,1,1996,Tiger shark,Unprovoked,Y,FATAL
2335,F,Youth,Playing,AUSTRALIA,1,1995,Non defined,Unprovoked,N,OTHERS
2336,M,Adult,Surfing,USA,1,1995,Non defined,Unprovoked,N,OTHERS
2337,M,Children,Surfing,USA,9,1995,Non defined,Unprovoked,N,LOWER EXTREMITIES
2339,M,Young Adult,Windsurfing,USA,9,1995,White shark,Unprovoked,N,LOWER EXTREMITIES
2344,M,Young Adult,diving,AUSTRALIA,9,1995,White shark,Unprovoked,Y,FATAL
2345,M,Young Adult,diving,USA,9,1995,White shark,Unprovoked,N,LOWER EXTREMITIES
2350,M,Youth,Surfing,USA,8,1995,Non defined,Unprovoked,N,OTHERS
2351,M,Youth,Surfing,USA,8,1995,Non defined,Unprovoked,N,OTHERS
2352,M,Youth,Swimming,USA,8,1995,Non defined,Unprovoked,N,OTHERS
2353,M,Youth,Swimming,USA,8,1995,Non defined,Unprovoked,N,LOWER EXTREMITIES
2354,M,Youth,Surfing,USA,8,1995,Non defined,Unprovoked,N,LOWER EXTREMITIES
2356,M,Youth,Fishing,TONGA,8,1995,Non defined,Unprovoked,N,OTHERS
2357,M,Youth,Wading,USA,8,1995,Non defined,Unprovoked,N,OTHERS
2361,M,Children,boarding,USA,8,1995,Non defined,Unprovoked,N,LOWER EXTREMITIES
2376,M,Young Adult,diving,USA,6,1995,White shark,Unprovoked,N,LOWER EXTREMITIES
2380,M,Adult,Swimming,USA,6,1995,Non defined,Unprovoked,N,LOWER EXTREMITIES
2381,F,Children,Swimming,USA,6,1995,Non defined,Unprovoked,N,LOWER EXTREMITIES
2382,M,Adult,Swimming,USA,6,1995,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
2384,M,Young Adult,Swimming,HONG KONG,6,1995,Non defined,Unprovoked,Y,FATAL
2393,M,Adult,diving,JAPAN,4,1995,White shark,Unprovoked,Y,FATAL
2395,M,Young Adult,Surfing,AUSTRALIA,3,1995,Non defined,Unprovoked,N,OTHERS
