,SEX,AGE,ACTIVITY,COUNTRY,MONTH,YEAR,SPECIES,TYPE,FATAL,INJURY
531,M,Adult,Swimming,USA,7,2014,White shark,Unprovoked,N,LOWER EXTREMITIES
537,M,Youth,surfing,USA,7,2014,Non defined,Unprovoked,N,OTHERS
544,M,Youth,Standing,USA,6,2014,Non defined,Unprovoked,N,OTHERS
545,M,Adult,boarding,AUSTRALIA,6,2014,Non defined,Unprovoked,N,OTHERS
548,F,Youth,Swimming,USA,6,2014,Bull shark,Unprovoked,N,LOWER EXTREMITIES
555,M,Young Adult,Surfing,AUSTRALIA,5,2014,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
559,F,Adult,Swimming,USA,5,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
561,M,Youth,Surfing,USA,5,2014,Non defined,Unprovoked,N,OTHERS
569,F,Adult,Swimming,AUSTRALIA,4,2014,White shark,Unprovoked,Y,FATAL
571,M,Senior,Swimming,SOUTH AFRICA,3,2014,Non defined,Unprovoked,Y,FATAL
580,M,Youth,Kitesurfing,FRENCH POLYNESIA,2,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
584,M,Young Adult,Surfing,NEW ZEALAND,2,2014,Non defined,Unprovoked,N,LOWER EXTREMITIES
590,M,Adult,Snorkeling,NEW CALEDONIA,12,2013,Bull shark,Unprovoked,N,LOWER EXTREMITIES
591,M,Youth,Surfing,SOUTH AFRICA,12,2013,White shark,Unprovoked,N,OTHERS
593,M,Young Adult,boarding,USA,12,2013,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
594,M,Young Adult,Surfing,USA,12,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
595,M,Young Adult,Surfing,AUSTRALIA,12,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
597,M,Youth,boarding,AUSTRALIA,11,2013,Tiger shark,Unprovoked,Y,FATAL
599,M,Young Adult,Surfing,AUSTRALIA,11,2013,White shark,Unprovoked,Y,FATAL
600,M,Young Adult,Surfing,USA,11,2013,White shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
605,M,Adult,Kiteboarding,USA,1,2013,Tiger shark,Unprovoked,N,LOWER EXTREMITIES
606,F,Adult,Snorkeling,AUSTRALIA,1,2013,Non defined,Unprovoked,N,OTHERS
607,M,Youth,boarding,REUNION,1,2013,Bull shark,Unprovoked,N,LOWER EXTREMITIES
609,M,Adult,Surfing,AUSTRALIA,1,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
610,M,Adult,Diving,USA,1,2013,White shark,Unprovoked,N,LOWER EXTREMITIES
611,M,Young Adult,Surfing,USA,1,2013,Tiger shark,Unprovoked,N,"NO INJURY, SLIGHT SCARE!"
612,M,Children,Wading,USA,1,2013,Non defined,Unprovoked,N,LOWER EXTREMITIES
613,M,Senior,Swimming,SOUTH AFRICA,1,2013,White shark,Unprovoked,Y,FATAL
614,M,Adult,Diving,AUSTRALIA,1,2013,White shark,Unprovoked,N,OTHERS
615,M,Adult,Surfing,USA,1,2013,White shark,Unprovoked,N,OTHERS
