Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
63,tt0284303,2018-06-29,2018-06-29,,Megalodon,https://www.imdb.com/title/tt0284303/,video,2.9,90,2002,"Action, Adventure, Horror, Sci-Fi, Thriller",1926,2002-10-04,Pat Corbitt
64,tt0088100,2018-06-29,2018-06-29,Own,Shark: Rosso nell'oceano,https://www.imdb.com/title/tt0088100/,movie,2.5,90,1984,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",3012,1984-09-07,Lamberto Bava
65,tt3400060,2018-06-29,2018-06-29,,Piranha Sharks,https://www.imdb.com/title/tt3400060/,movie,3.4,79,2016,"Action, Comedy, Drama, Horror, Sci-Fi, Thriller",342,2016-01-18,Leigh Scott
66,tt0426556,2018-06-29,2018-06-29,,Raging Sharks,https://www.imdb.com/title/tt0426556/,video,2.6,92,2005,"Action, Adventure, Horror, Sci-Fi, Thriller",894,2005-02-01,Danny Lerner
67,tt3959690,2018-06-29,2018-06-29,,Raiders of the Lost Shark,https://www.imdb.com/title/tt3959690/,movie,1.6,71,2015,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",683,2015-05-19,Brett Kelly
68,tt0365677,2018-06-29,2018-06-29,Own,Red Water,https://www.imdb.com/title/tt0365677/,tvMovie,4.2,92,2003,"Action, Adventure, Crime, Drama, Horror, Sci-Fi, Thriller",2514,2003-08-17,Charles Robert Carner
69,tt1320291,2018-06-29,2018-06-29,,The Reef,https://www.imdb.com/title/tt1320291/,movie,5.8,94,2010,"Adventure, Drama, Horror, Thriller",15228,2010-05-17,Andrew Traucki
70,tt0339236,2018-06-29,2018-06-29,Own,Shark Zone,https://www.imdb.com/title/tt0339236/,video,2.7,91,2003,"Action, Adventure, Crime, Drama, Horror, Thriller",788,2003-10-14,Danny Lerner
71,tt0078925,2018-06-29,2018-06-29,,Il cacciatore di squali,https://www.imdb.com/title/tt0078925/,movie,5.1,97,1979,Adventure,267,1979-12-24,Enzo G. Castellari
72,tt0329589,2018-06-29,2018-06-29,,Shark Hunter,https://www.imdb.com/title/tt0329589/,movie,2.9,94,2001,"Action, Adventure, Horror, Sci-Fi, Thriller",856,2001-10-01,Matt Codd
73,tt1087474,2018-06-29,2018-06-29,,Shark in Venice,https://www.imdb.com/title/tt1087474/,movie,2.6,88,2008,"Action, Adventure, Comedy, Crime, Fantasy, Horror, Sci-Fi, Thriller",1710,2008-10-06,Danny Lerner
74,tt0075205,2018-06-29,2018-06-29,,Shark Kill,https://www.imdb.com/title/tt0075205/,tvMovie,4.4,76,1976,"Adventure, Drama, Thriller",85,1976-05-20,William A. Graham
75,tt1633356,2018-06-29,2018-06-29,Own,Shark Night 3D,https://www.imdb.com/title/tt1633356/,movie,4.0,90,2011,"Horror, Thriller",23213,2011-08-31,David R. Ellis
76,tt1078927,2018-06-29,2018-06-29,Own,Shark Swarm,https://www.imdb.com/title/tt1078927/,tvMovie,3.6,167,2008,"Action, Adventure, Comedy, Drama, Horror, Sci-Fi, Thriller",1335,2008-03-09,James A. Contner
77,tt0307453,2018-06-29,2018-06-29,Own,Shark Tale,https://www.imdb.com/title/tt0307453/,movie,6.0,90,2004,"Animation, Adventure, Comedy, Family, Fantasy",154852,2004-09-10,"Bibo Bergeron, Vicky Jenson, Rob Letterman"
78,tt2292182,2018-06-29,2018-06-29,Own,Shark Week,https://www.imdb.com/title/tt2292182/,movie,2.5,89,2012,"Action, Adventure, Horror, Sci-Fi, Thriller",1144,2012-08-04,Christopher Ray
79,tt0066365,2018-06-29,2018-06-29,Own,Shark!,https://www.imdb.com/title/tt0066365/,movie,4.6,92,1969,"Action, Adventure, Thriller",777,1969-10-08,Samuel Fuller
80,tt0459392,2018-06-29,2018-06-29,,Hammerhead,https://www.imdb.com/title/tt0459392/,tvMovie,3.1,92,2005,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",1530,2005-06-18,Michael Oblowitz
81,tt0073695,2018-06-29,2018-06-29,,Sharks' Treasure,https://www.imdb.com/title/tt0073695/,movie,4.7,95,1975,"Action, Adventure",241,1975-04-18,Cornel Wilde
82,tt1151402,2018-06-29,2018-06-29,,Sharp Teeth,https://www.imdb.com/title/tt1151402/,video,2.3,80,2006,"Comedy, Horror",64,2006-12-31,Christine Whitlock
83,tt0052188,2018-06-29,2018-06-29,,She Gods of Shark Reef,https://www.imdb.com/title/tt0052188/,movie,2.6,63,1958,Adventure,809,1958-08-31,Roger Corman
84,tt1841840,2018-06-29,2018-06-29,Own,Snow Shark: Ancient Snow Beast,https://www.imdb.com/title/tt1841840/,video,1.9,79,2011,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",559,,Sam Qualiana
85,tt0450326,2018-06-29,2018-06-29,,Spring Break Shark Attack,https://www.imdb.com/title/tt0450326/,tvMovie,3.8,88,2005,"Action, Adventure, Drama, Horror, Thriller",2106,2005-03-20,Paul Shapiro
86,tt0103559,2018-06-29,2018-06-29,,Street Sharks,https://www.imdb.com/title/tt0103559/,tvSeries,6.4,22,1994,"Animation, Adventure, Crime, Family, Sci-Fi",1935,1994-09-01,
87,tt0056584,2018-06-29,2018-06-29,,Tiburoneros,https://www.imdb.com/title/tt0056584/,movie,7.7,100,1963,Drama,138,1963-03-17,Luis Alcoriza
88,tt4704918,2018-06-29,2018-06-29,,Zombie Shark,https://www.imdb.com/title/tt4704918/,tvMovie,3.0,86,2015,"Action, Adventure, Horror, Sci-Fi, Thriller",898,2015-07-20,Misty Talley
89,tt0076825,2018-06-29,2018-06-29,Own,¡Tintorera!,https://www.imdb.com/title/tt0076825/,movie,4.1,126,1977,"Drama, Horror, Romance, Thriller",909,1977-04-07,René Cardona Jr.
90,tt0080066,2018-06-29,2018-06-29,,Up from the Depths,https://www.imdb.com/title/tt0080066/,movie,2.9,85,1979,"Action, Adventure, Comedy, Drama, Horror, Sci-Fi, Thriller",602,1979-06-30,Charles B. Griffith
91,tt0378109,2018-06-29,2018-06-29,,Into the Blue,https://www.imdb.com/title/tt0378109/,movie,5.9,110,2005,"Action, Adventure, Crime, Thriller",70187,2005-09-21,John Stockwell
92,tt2046005,2018-06-29,2018-06-29,,Zig & Sharko,https://www.imdb.com/title/tt2046005/,tvSeries,6.8,7,2010,"Animation, Action, Comedy, Family, Fantasy",260,2010-12-21,
93,tt0266543,2018-06-29,2018-06-29,Own,Finding Nemo,https://www.imdb.com/title/tt0266543/,movie,8.1,100,2003,"Animation, Adventure, Comedy, Family",869221,2003-05-30,"Andrew Stanton, Lee Unkrich"
94,tt0112747,2018-06-29,2018-06-29,,Cruel Jaws,https://www.imdb.com/title/tt0112747/,tvMovie,3.0,93,1995,"Action, Adventure, Comedy, Horror, Thriller",583,1995-09-26,Bruno Mattei
95,tt3120314,2018-06-29,2018-06-29,,Shark Exorcist,https://www.imdb.com/title/tt3120314/,movie,1.4,71,2015,"Action, Comedy, Fantasy, Horror, Mystery, Sci-Fi, Thriller",845,2015-08-14,Donald Farmer
96,tt0446889,2018-06-29,2018-06-29,,Aatank,https://www.imdb.com/title/tt0446889/,movie,4.0,113,1996,"Action, Thriller",74,,"Prem Lalwani, Desh Mukherjee"
97,tt0389371,2018-06-29,2018-06-29,,Sharkman,https://www.imdb.com/title/tt0389371/,movie,2.1,90,2001,"Horror, Sci-Fi",170,,Brian Meece
98,tt4443784,2018-06-29,2018-06-29,,Roboshark,https://www.imdb.com/title/tt4443784/,tvMovie,3.2,87,2015,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",881,2015-07-18,Jeffery Scott Lando
99,tt0097178,2018-06-29,2018-06-29,,Sangue negli abissi,https://www.imdb.com/title/tt0097178/,movie,3.0,90,1990,"Adventure, Horror",187,1990-09-20,"Raffaele Donato, Joe D'Amato"
100,tt0100273,2018-06-29,2018-06-29,,La notte degli squali,https://www.imdb.com/title/tt0100273/,movie,3.6,87,1988,Action,298,1988-04-01,Tonino Ricci
101,tt1473782,2018-06-29,2018-06-29,,Blood in the Water,https://www.imdb.com/title/tt1473782/,tvMovie,7.1,120,2009,Horror,76,2009-08-02,Richard Bedser
102,tt0332758,2018-06-29,2018-06-29,,Great White,https://www.imdb.com/title/tt0332758/,video,4.3,90,1998,"Action, Horror",73,1998-12-31,Zac Reeder
103,tt0082070,2018-06-29,2018-06-29,,Beyond the Reef,https://www.imdb.com/title/tt0082070/,movie,4.6,91,1979,"Adventure, Romance",173,1979-12-20,Frank C. Clarke
104,tt0820142,2018-06-29,2018-06-29,,Shark Bait,https://www.imdb.com/title/tt0820142/,movie,4.2,77,2006,"Animation, Family",3520,2006-07-07,"Kyung Ho Lee, John Fox, Howard E. Baker"
105,tt1891905,2018-06-29,2018-06-29,,SeeFood,https://www.imdb.com/title/tt1891905/,movie,4.5,93,2011,"Animation, Adventure, Comedy, Family",948,2011-10-07,Aun Hoe Goh
106,tt4416518,2018-06-29,2018-06-29,,Shark Lake,https://www.imdb.com/title/tt4416518/,movie,3.5,92,2015,"Action, Adventure, Crime, Drama, Horror, Thriller",1698,2015-10-02,Jerry Dugan
107,tt2133253,2018-06-29,2018-06-29,,Killer Sharks: The Attacks of Black December,https://www.imdb.com/title/tt2133253/,tvMovie,6.9,,2011,Drama,33,2011-08-02,Philip Lott
108,tt4025594,2018-06-29,2018-06-29,,Shark Killer,https://www.imdb.com/title/tt4025594/,movie,4.2,88,2015,"Action, Horror, Thriller",447,2015-02-20,Sheldon Wilson
109,tt0424774,2018-06-29,2018-06-29,,The Adventures of Sharkboy and Lavagirl 3-D,https://www.imdb.com/title/tt0424774/,movie,3.5,93,2005,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",27251,2005-06-10,Robert Rodriguez
110,tt4558298,2018-06-29,2018-06-29,,Shark Babes,https://www.imdb.com/title/tt4558298/,tvMovie,4.8,76,2015,"Comedy, Sci-Fi",108,2015-10-01,Jim Wynorski
111,tt3486698,2018-06-29,2018-06-29,,The Shark,https://www.imdb.com/title/tt3486698/,movie,,,,"Drama, Horror",,,Brannon Carty
112,tt0042642,2018-06-29,2018-06-29,,Killer Shark,https://www.imdb.com/title/tt0042642/,movie,4.2,76,1950,Adventure,133,1950-03-19,Budd Boetticher
113,tt0091936,2018-06-29,2018-06-29,,Shark's Paradise,https://www.imdb.com/title/tt0091936/,tvMovie,5.5,88,1986,"Action, Adventure, Crime",59,1986-12-31,Michael Jenkins
114,tt3403194,2018-06-29,2018-06-29,,Sharkansas Women's Prison Massacre,https://www.imdb.com/title/tt3403194/,tvMovie,3.3,84,2015,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",784,2015-11-04,Jim Wynorski
115,tt1978567,2018-06-29,2018-06-29,,The Reef 2: High Tide,https://www.imdb.com/title/tt1978567/,movie,4.0,80,2012,"Animation, Family, Musical",755,2012-10-30,"Mark A.Z. Dippé, Taedong Park"
116,tt4779682,2018-06-29,2018-06-29,,The Meg,https://www.imdb.com/title/tt4779682/,movie,5.7,113,2018,"Action, Horror, Sci-Fi, Thriller",115778,2018-08-08,Jon Turteltaub
117,tt4052882,2018-06-29,2018-06-29,,The Shallows,https://www.imdb.com/title/tt4052882/,movie,6.3,86,2016,"Drama, Horror, Thriller",107198,2016-06-21,Jaume Collet-Serra
118,tt5636234,2018-06-29,2018-06-29,,Sharkenstein,https://www.imdb.com/title/tt5636234/,movie,2.2,85,2016,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",344,2016-08-16,Mark Polonia
