Year,Country,Area,Activity,Sex,Fatal (Y/N)
2013,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Y
2013,AUSTRALIA,Western Australia,Diving,M,N
2013,USA,California,Surfing,M,N
2013,USA,Florida,Wading,M,N
2013,USA,Florida,Surfing,M,N
2013,USA,Florida,Wading,M,N
2013,USA,Florida,Swimming,M,N
2013,USA,Florida,Surfing,M,N
2013,USA,Florida,Swimming,M,N
2013,USA,Florida,Surfing,F,N
2013,USA,Florida,Surfing,M,N
2013,USA,Florida,Wading,M,N
2013,USA,Florida,Swimming,M,N
2013,USA,Florida,Unknown,M,N
2013,USA,Florida,Other,M,N
2013,USA,California,Swimming,M,N
2013,USA,California,Swimming,F,N
2013,USA,Florida,Boarding,F,N
2013,AUSTRALIA,New South Wales,Other,M,N
2013,USA,Hawaii,Surfing,M,N
2013,USA,California,Surfing,F,N
2013,USA,Hawaii,Swimming,F,Y
2013,USA,Hawaii,Boarding,F,N
2013,USA,South Carolina,Surfing,M,N
2013,USA,Florida,Fishing,M,N
2013,USA,Hawaii,Swimming,F,N
2013,USA,South Carolina,Swimming,M,N
2013,USA,Hawaii,Surfing,M,N
2013,BRAZIL,Pernambuco,Swimming,F,Y
2013,USA,Florida,Swimming,M,N
2013,USA,North Carolina,Wading,F,N
2013,AUSTRALIA,Victoria,Surfing,M,N
2013,USA,California,Fishing,M,N
2013,USA,Florida,Swimming,M,N
2013,USA,South Carolina,Swimming,M,N
2013,USA,Hawaii,Swimming,M,N
2013,USA,Texas,Swimming,M,N
2013,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N
2013,USA,Florida,Surfing,F,N
2013,USA,South Carolina,Boarding,F,N
2013,USA,Florida,Fishing,M,N
2013,AUSTRALIA,New South Wales,Surfing,M,N
2013,USA,Hawaii,Diving,M,N
2013,USA,Florida,Swimming,M,N
2013,BRAZIL,Pernambuco,Unknown,M,Y
2013,USA,California,Surfing,M,Y
2013,USA,Florida,Surfing,M,N
2013,AUSTRALIA,New South Wales,Fishing,M,N
2013,AUSTRALIA,New South Wales,Fishing,M,N
2013,USA,Florida,Other,M,N
2013,SOUTH AFRICA,Western Cape Province,Diving,M,N
2013,USA,Florida,Surfing,M,N
2013,USA,Florida,Swimming,M,N
2013,AUSTRALIA,Western Australia,Unknown,M,Y
2013,USA,Hawaii,Surfing,M,N
2013,AUSTRALIA,New South Wales,Surfing,M,N
2013,SOUTH AFRICA,Western Cape Province,Fishing,M,N
2013,SOUTH AFRICA,Western Cape Province,Surfing,M,N
2013,AUSTRALIA,Western Australia,Fishing,M,N
2013,SOUTH AFRICA,Eastern Cape Province,Swimming,M,N
2013,USA,Hawaii,Surfing,M,N
2013,USA,Florida,Surfing,M,N
2013,AUSTRALIA,Victoria,Fishing,M,N
2013,AUSTRALIA,Queensland,Surfing,M,N
2013,AUSTRALIA,Queensland,Other,M,N
2013,USA,Hawaii,Surfing,M,N
2013,AUSTRALIA,Western Australia,Fishing,M,N
2012,USA,Florida,Swimming,M,N
2012,AUSTRALIA,New South Wales,Surfing,M,N
2012,AUSTRALIA,New South Wales,Boarding,M,N
2012,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Y
2012,AUSTRALIA,Western Australia,Surfing,M,N
2012,USA,Hawaii,Surfing,M,N
2012,AUSTRALIA,New South Wales,Fishing,M,N
2012,USA,Hawaii,Swimming,M,N
2012,AUSTRALIA,Queensland,Unknown,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Hawaii,Diving,M,N
2012,USA,Hawaii,Surfing,M,N
2012,USA,California,Surfing,M,N
2012,USA,Hawaii,Swimming,F,N
2012,USA,California,Surfing,M,Y
2012,USA,Florida,Unknown,F,N
2012,USA,Florida,Surfing,M,N
2012,USA,Hawaii,Boarding,M,N
2012,USA,Florida,Unknown,M,N
2012,USA,California,Surfing,M,N
2012,AUSTRALIA,Western Australia,Boarding,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Florida,Swimming,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Florida,Boarding,F,N
2012,USA,Florida,Swimming,F,N
2012,AUSTRALIA,Western Australia,Surfing,M,N
2012,BRAZIL,Pernambuco,Swimming,M,Y
2012,USA,Florida,Diving,M,N
2012,USA,California,Surfing,M,N
2012,AUSTRALIA,South Australia,Surfing,M,N
2012,USA,Hawaii,Surfing,M,N
2012,USA,North Carolina,Unknown,M,N
2012,AUSTRALIA,Western Australia,Surfing,M,Y
2012,USA,North Carolina,Swimming,F,N
2012,AUSTRALIA,Victoria,Diving,F,Y
2012,USA,California,Paddling,M,N
2012,SOUTH AFRICA,Western Cape Province,Surfing,M,N
2012,USA,Florida,Swimming,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Hawaii,Other,F,N
2012,USA,Florida,Swimming,M,N
2012,AUSTRALIA,Western Australia,Water-Ski,M,N
2012,USA,South Carolina,Wading,M,N
2012,USA,North Carolina,Wading,F,N
2012,USA,Florida,Fishing,M,N
2012,USA,South Carolina,Swimming,F,N
2012,USA,South Carolina,Swimming,M,N
2012,USA,South Carolina,Swimming,M,N
2012,USA,South Carolina,Swimming,M,N
2012,AUSTRALIA,Victoria,Surfing,M,N
2012,AUSTRALIA,New South Wales,Water-Ski,M,N
2012,USA,Florida,Surfing,F,N
2012,USA,South Carolina,Boarding,M,N
2012,USA,North Carolina,Wading,F,N
2012,USA,Florida,Surfing,M,N
2012,USA,Hawaii,Fishing,M,N
2012,USA,California,Fishing,M,N
2012,USA,Florida,Swimming,F,N
2012,USA,California,Boarding,F,N
2012,USA,Florida,Surfing,M,N
2012,SOUTH AFRICA,Western Cape Province,Boarding,M,Y
2012,AUSTRALIA,South Australia,Paddling,M,N
2012,USA,Hawaii,Surfing,M,N
2012,USA,Florida,Unknown,M,N
2012,AUSTRALIA,Western Australia,Diving,M,Y
2012,USA,Florida,Surfing,M,N
2012,AUSTRALIA,Queensland,Surfing,M,N
2012,USA,Florida,Surfing,M,N
2012,USA,Florida,Surfing,F,N
2012,USA,Florida,Surfing,M,N
2012,AUSTRALIA,Victoria,Diving,F,N
2012,USA,Florida,Surfing,M,N
2012,USA,Florida,Surfing,M,N
2012,AUSTRALIA,New South Wales,Fishing,M,N
2012,AUSTRALIA,Queensland,Surfing,M,N
2012,AUSTRALIA,Western Australia,Swimming,M,N
2012,AUSTRALIA,New South Wales,Surfing,M,N
2012,SOUTH AFRICA,Eastern Cape Province,Swimming,M,Y
2012,AUSTRALIA,New South Wales,Surfing,M,N
2012,AUSTRALIA,Queensland,Fishing,M,N
2011,USA,Florida,Unknown,M,N
2011,USA,Florida,Surfing,M,N
2011,USA,Hawaii,Paddling,M,N
2011,SOUTH AFRICA,Eastern Cape Province,Fishing,M,N
2011,AUSTRALIA,New South Wales,Surfing,M,N
2011,SOUTH AFRICA,KwaZulu-Natal,Water-Ski,M,N
2011,AUSTRALIA,New South Wales,Surfing,M,N
2011,AUSTRALIA,New South Wales,Surfing,M,N
2011,AUSTRALIA,Queensland,Swimming,M,N
2011,USA,California,Paddling,M,N
2011,BRAZIL,Pernambuco,Surfing,M,N
2011,USA,California,Surfing,M,N
2011,AUSTRALIA,Western Australia,Diving,M,Y
2011,AUSTRALIA,Victoria,Diving,M,N
2011,USA,Florida,Surfing,M,N
2011,AUSTRALIA,Western Australia,Swimming,M,Y
2011,USA,Florida,Fishing,M,N
2011,SOUTH AFRICA,Western Cape Province,Swimming,M,N
2011,USA,Florida,Fishing,M,N
2011,USA,South Carolina,Other,M,N
2011,USA,Hawaii,Paddling,M,N
2011,USA,Florida,Surfing,M,N
2011,USA,California,Surfing,M,N
2011,AUSTRALIA,Western Australia,Boarding,M,Y
2011,USA,Florida,Surfing,M,N
2011,USA,Florida,Surfing,M,N
2011,AUSTRALIA,Queensland,Swimming,M,Y
2011,USA,Texas,Fishing,F,N
2011,USA,North Carolina,Surfing,M,N
2011,USA,North Carolina,Unknown,M,N
2011,SOUTH AFRICA,Western Cape Province,Surfing,M,Y
2011,USA,North Carolina,Wading,F,N
2011,USA,North Carolina,Unknown,M,N
2011,USA,South Carolina,Other,M,N
2011,USA,North Carolina,Swimming,M,N
2011,BRAZIL,Pernambuco,Swimming,M,Y
2011,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N
2011,USA,North Carolina,Boarding,F,N
2011,USA,Texas,Fishing,M,N
2011,USA,Texas,Swimming,M,N
2011,USA,Texas,Fishing,M,N
2011,BRAZIL,Pernambuco,Surfing,M,N
2011,SOUTH AFRICA,KwaZulu-Natal,Diving,M,N
2011,USA,North Carolina,Other,F,N
2011,USA,California,Surfing,M,N
2011,USA,Florida,Water-Ski,M,N
2011,USA,Florida,Diving,M,N
2011,USA,California,Fishing,M,N
2011,USA,Florida,Wading,M,N
2011,USA,Texas,Boarding,F,N
2011,SOUTH AFRICA,Western Cape Province,Surfing,M,N
2011,USA,Hawaii,Surfing,F,N
2011,USA,Hawaii,Boarding,F,N
2011,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,Y
2011,USA,Florida,Surfing,M,N
2011,USA,Florida,Surfing,M,N
2011,USA,Florida,Fishing,M,N
2011,SOUTH AFRICA,KwaZulu-Natal,Fishing,M,N
2011,USA,Florida,Fishing,M,N
2011,AUSTRALIA,Western Australia,Other,M,N
2011,USA,Florida,Surfing,M,N
2011,USA,Texas,Wading,M,N
2011,AUSTRALIA,New South Wales,Surfing,M,N
2011,AUSTRALIA,New South Wales,Boarding,F,N
2011,AUSTRALIA,New South Wales,Surfing,M,N
2011,AUSTRALIA,Queensland,Fishing,M,N
2011,AUSTRALIA,South Australia,Diving,M,Y
2011,AUSTRALIA,Queensland,Fishing,M,N
2011,AUSTRALIA,Western Australia,Swimming,M,N
2011,SOUTH AFRICA,Eastern Cape Province,Fishing,M,N
2011,AUSTRALIA,New South Wales,Swimming,F,N
2011,SOUTH AFRICA,Eastern Cape Province,Surfing,M,Y
2010,USA,Hawaii,Boarding,M,N
2010,USA,Hawaii,Surfing,M,N
2010,AUSTRALIA,Western Australia,Swimming,M,Y
2010,AUSTRALIA,Western Australia,Fishing,M,N
2010,AUSTRALIA,Western Australia,Swimming,F,N
2010,AUSTRALIA,Western Australia,Fishing,M,N
2010,AUSTRALIA,Western Australia,Surfing,M,N
2010,USA,California,Boarding,M,Y
2010,AUSTRALIA,New South Wales,Surfing,M,N
2010,SOUTH AFRICA,Western Cape Province,Surfing,M,N
2010,SOUTH AFRICA,Western Cape Province,Swimming,M,Y
2010,AUSTRALIA,New South Wales,Surfing,M,N
2010,USA,Florida,Swimming,M,N
2010,USA,Florida,Surfing,M,N
2010,USA,Florida,Surfing,M,N
2010,USA,Florida,Surfing,M,N
2010,USA,Florida,Boarding,M,N
2010,AUSTRALIA,Western Australia,Surfing,M,Y
2010,USA,California,Fishing,M,N
2010,AUSTRALIA,Queensland,Fishing,F,N
2010,AUSTRALIA,New South Wales,Surfing,M,N
2010,USA,North Carolina,Surfing,M,N
2010,USA,Florida,Swimming,F,N
2010,USA,California,Paddling,M,N
2010,USA,Florida,Wading,F,N
2010,USA,South Carolina,Wading,M,N
2010,USA,Florida,Surfing,M,N
2010,USA,South Carolina,Swimming,M,N
2010,USA,North Carolina,Swimming,F,N
2010,USA,Florida,Surfing,M,N
2010,USA,Texas,Fishing,M,N
2010,USA,Florida,Fishing,M,N
2010,SOUTH AFRICA,KwaZulu-Natal,Swimming,F,N
2010,USA,California,Surfing,M,N
2010,USA,California,Boarding,M,N
2010,USA,Texas,Surfing,M,N
2010,USA,South Carolina,Boarding,F,N
2010,USA,North Carolina,Swimming,F,N
2010,USA,Florida,Boarding,F,N
2010,AUSTRALIA,Western Australia,Surfing,M,N
2010,USA,Florida,Surfing,M,N
2010,USA,Florida,Fishing,M,N
2010,AUSTRALIA,New South Wales,Surfing,M,N
2010,USA,Florida,Wading,F,N
2010,USA,Florida,Other,M,N
2010,USA,Hawaii,Surfing,M,N
2010,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N
2010,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N
2010,AUSTRALIA,Queensland,Swimming,F,N
2010,AUSTRALIA,New South Wales,Surfing,M,N
2010,AUSTRALIA,New South Wales,Boarding,M,N
