,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
1147,2007.06.17,Jun,2007,Invalid,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,F,9,N
1151,2007.05.24,May,2007,Provoked,USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,F,40,N
1152,2007.05.17.R,May,2007,Provoked,ENGLAND,Kent,Folkestone,Fishing,M,38,N
1153,2007.05.16,May,2007,Unprovoked,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",Wading,F,38,N
1154,2007.05.12,May,2007,Unprovoked,AUSTRALIA,Victoria,Warrnambool,Surfing,M,19,N
1155,2007.05.10,May,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,21,N
1157,2007.05.08,May,2007,Invalid,AUSTRALIA,New South Wales,Kingscliff Beach,Swimming,M,45,Y
1158,2007.05.07.b,May,2007,Unprovoked,USA,Hawaii,"Keawakapu Beach, Maui",Snorkeling,F,63,N
1159,2007.05.07.a,May,2007,Unprovoked,USA,Florida,Naples,Swimming,M,68,N
1162,2007.04.26,Apr,2007,Unprovoked,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",Swimming / jumping off a jetty,F,13,N
1163,2007.04.22,Apr,2007,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,M,12,N
1164,2007.04.20,Apr,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,N
1166,2007.04.09,Apr,2007,Unprovoked,NEW CALEDONIA,South Province,Dumb�a,Surfing,M,26,N
1167,2007.04.01,Apr,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing on a sandbar,M,7,N
1168,2007.03.31.b,Mar,2007,Unprovoked,USA,Florida,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,M,27,N
1169,2007.03.31.a,Mar,2007,Unprovoked,USA,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",Unknown,M,9,N
1171,2007.03.21,Mar,2007,Unprovoked,USA,Florida,Jupiter Inlet,Surfing,M,11,N
1172,2007.03.20,Mar,2007,Unprovoked,AUSTRALIA,New South Wales,South Golden Beach,Surfing,F,42,N
1174,2007.03.12,Mar,2007,Unprovoked,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",Swimming,F,59,N
1175,2007.03.11,Mar,2007,Unprovoked,USA,Florida,"Tiger Shores Beach, Martin County",Surfing,M,29,N
1176,2007.03.05.R,Mar,2007,Provoked,NEW ZEALAND,Cook islans,Penhryn Island,Spearfishing,M,16,N
1177,2007.02.04,Feb,2007,Invalid,COSTA RICA,Unknown,Unknown,Swimming,M,36,Y
1178,2007.02.03,Feb,2007,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Boogie Boarding,M,26,N
1180,2007.01.25.b,Jan,2007,Unprovoked,NEW CALEDONIA,North Province,Kaala-Gomen ,Spearfishing (free diving),M,30,N
1182,2007.01.23,Jan,2007,Unprovoked,AUSTRALIA,New South Wales,Cape Howe,Diving,M,41,N
1183,2007.01.19,Jan,2007,Invalid,AUSTRALIA,New South Wales,Brunswick Heads,Swimming,M,20,Y
1184,2007.01.14,Jan,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",Swimming / Body Surfing,M,24,Y
1186,2007.01.07,Jan,2007,Invalid,USA,New York,"Smith Point, Long Island",Surfing,M,54,N
1187,2007.01.05,Jan,2007,Unprovoked,USA,Hawaii,"Majors Bay, Kaua'i",Surfing,M,24,N
1188,2006.12.18,Dec,2006,Unprovoked,AUSTRALIA,Victoria,"Winki Pop, Bells Beach",Surfing,M,25,N
1189,2006.12.11,Dec,2006,Unprovoked,NEW ZEALAND,North Island,"Raglan, Manu Bay",Surfing,M,10,N
1190,2006.12.10,Dec,2006,Unprovoked,USA,California,"Dillon Beach, Marin County",Surfing,M,43,N
1191,2006.12.06,Dec,2006,Provoked,SOUTH AFRICA,KwaZulu-Natal,Cape Vidal,Fishing,M,25,N
1192,2006.12.02,Dec,2006,Unprovoked,AUSTRALIA,Western Australia,Wharton Beach,Body boarding,M,15,N
1194,2006.11.11,Nov,2006,Unprovoked,USA,Hawaii,"Kihei, Maui",Swimming,M,29,N
1196,2006.10.31,Oct,2006,Unprovoked,USA,Oregon,"Siletz River mouth, Lincoln County",Surfing,M,22,N
1197,2006.10.16,Oct,2006,Unprovoked,USA,Florida,Sebastian Inlet,Fishing,M,15,N
1198,2006.10.10,Oct,2006,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,20,N
1200,2006.10.05,Oct,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Playing soccer in the water,M,18,N
1203,2006.09.30,Sep,2006,Invalid,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing,M,36,N
1204,2006.09.29,Sep,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,19,N
1206,2006.09.16,Sep,2006,Unprovoked,USA,North Carolina,Onslow Beach,Surfing,M,16,N
1207,2006.09.14,Sep,2006,Unprovoked,USA,Florida,"Singer Island, Riviera Beach",Swimming,M,55,N
1208,2006.09.11,Sep,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,52,N
1209,2006.09.04,Sep,2006,Invalid,AUSTRALIA,Queensland,Great Barrier Reef  ,Diving,M,44,Y
1210,2006.09.03.b,Sep,2006,Unprovoked,BRAZIL,Unknown,Unknown,Unknown,M,20,Y
1211,2006.09.03.a,Sep,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,33,N
1213,2006.09.02,Sep,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,37,N
1214,2006.08.29.b,Aug,2006,Unprovoked,USA,Oregon,"Florence, Lane County",Surfing,M,23,N
1216,2006.08.27,Aug,2006,Unprovoked,REUNION,Saint-Gilles-les-Bains,"Les Aigrettes, near Boucan-Canot",Body boarding,M,27,N
1217,2006.08.22.b,Aug,2006,Invalid,BRAZIL,Pernambuco,Pina,Unknown,M,17,Y
1218,2006.08.22.a,Aug,2006,Invalid,BELIZE,Ambergris Caye,Near Ramon's Village,Spearfishing,M,34,Y
1220,2006.08.20.a,Aug,2006,Unprovoked,REUNION,Saint-Pierre,Pointe du Diable,Surfing,M,34,Y
1222,2006.08.13,Aug,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunrise Beach, Muizenberg",Lifesaving drill,M,24,N
1226,2006.07.31.a,Jul,2006,Unprovoked,USA,Oregon,Oswald State Park,Surfing,M,41,N
1228,2006.07.29.a,Jul,2006,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,15,N
1229,2006.07.28,Jul,2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Fish Hoek,Surf-skiing,M,19,N
1230,2006.07.25,Jul,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,N
1233,2006.07.17,Jul,2006,Unprovoked,USA,South Carolina,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,M,49,N
1234,2006.07.13,Jul,2006,Invalid,SPAIN,Alicante,San Juan Beach  ,Swimming,F,7,N
1235,2006.07.12,Jul,2006,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Swimming,F,21,N
1237,2006.07.09.b,Jul,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,40,N
1238,2006.07.09.a,Jul,2006,Unprovoked,USA,Florida,"Ponte Vedra Beach, St Johns County",Walking,M,11,N
1239,2006.07.08.b,Jul,2006,Unprovoked,USA,South Carolina,"Debordieu Beach, Georgetown County",Body boarding,F,14,N
1240,2006.07.08.a,Jul,2006,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Swimming,M,13,N
1243,2006.06.27,Jun,2006,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Body boarding,F,9,N
1245,2006.06.24,Jun,2006,Unprovoked,BAHAMAS,Andros Islands,Mangrove Cay,Spearfishing,M,25,N
1246,2006.06.20,Jun,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,22,N
1247,2006.06.18,Jun,2006,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre Beach, Olinda",Body boarding,M,27,Y
1248,2006.06.17,Jun,2006,Unprovoked,USA,California,"Monterey, Monterey County",Scuba diving,M,43,N
1249,2006.06.15,Jun,2006,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,24,N
1250,2006.06.07,Jun,2006,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Playing,F,7,N
1251,2006.06.05,Jun,2006,Unprovoked,AUSTRALIA,South Australia,Waitpinga,Surfing,M,40,N
1252,2006.05.31,May,2006,Unprovoked,USA,Hawaii,O'ahu,Spearfishing,M,26,N
1254,2006.05.27,May,2006,Unprovoked,USA,Hawaii,"North Shore, O'ahu",Surfing,M,31,N
1255,2006.05.24,May,2006,Provoked,USA,Hawaii,Lanai,Spearfishing,M,15,N
1256,2006.05.21,May,2006,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,33,N
1257,2006.05.19,May,2006,Unprovoked,USA,Guam,Gun Beach,Scuba diving,F,30,N
1259,2006.05.04,May,2006,Unprovoked,USA,Florida,"Hutchinson Island, St. Lucie County",Swimming,F,20,N
1260,2006.05.02,May,2006,Provoked,AUSTRALIA,Queensland,"Moffat Beach, Caloundra",Snorkeling,M,46,N
1262,2006.04.21,Apr,2006,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,54,N
1263,2006.04.19,Apr,2006,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Standing,F,13,N
1264,2006.04.13,Apr,2006,Provoked,USA,Florida,"Port of the Islands, Collier County",Fishing,M,35,N
1265,2006.04.11,Apr,2006,Unprovoked,AUSTRALIA,New South Wales,Newcastle Beach,Surfing,M,15,N
1266,2006.04.09.b,Apr,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Body boarding,M,15,N
1267,2006.04.09.a,Apr,2006,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,35,N
1268,2006.04.03,Apr,2006,Unprovoked,USA,Florida,"Marco Island, Collier County",Wading,M,11,N
1270,2006.03.23,Mar,2006,Unprovoked,USA,Hawaii,"Leftovers, near Waimea Bay, O'ahu",Surfing,F,28,N
1271,2006.03.22,Mar,2006,Invalid,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Swimming,M,17,Y
1272,2006.03.19,Mar,2006,Unprovoked,FIJI,Vitu Levu,Sigatoka,Surfing,M,21,N
1273,2006.03.15,Mar,2006,Unprovoked,AUSTRALIA,New South Wales,"Bondi, Sydney",Surfing,M,15,N
1274,2006.02.27,Feb,2006,Unprovoked,USA,Hawaii,"Makena, Maui",Standing,F,15,N
1275,2006.02.23,Feb,2006,Invalid,USA,Hawaii,"Makena, Maui",Free diving,M,45,Y
1276,2006.02.13,Feb,2006,Unprovoked,AUSTRALIA,Queensland,"Golden Beach, Caloundra",Wading,M,18,N
1279,2006.02.08,Feb,2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,15,N
1280,2006.02.01.b,Feb,2006,Unprovoked,TONGA,Vava'u,Tu�anuku,Swimming,F,24,Y
